area,dist,acldecl,frente,preco,coefap
"369,51",200,"0,95","10,28",60000,3
"350,02",650,"0,9",13,30000,3
"380,3",500,1,"12,74",50000,3
"388,65",500,"0,75",37,20000,"1,5"
"715,12",200,1,"55,88",50000,3
